gene_id;gene_symbol;gene_description;baseMean;log2FoldChange;lfcSE;pvalue;padj
ENSG00000242193;ENSG00000242193;ENSG00000242193;9,45656521236930e+02;2,40856559950308e+01;3,6461597235985495;0,00000000000000e+00;0,00000000000000e+00
ENSG00000226752;ENSG00000226752;ENSG00000226752;3,69916349132420e+02;2,26690796429403e+01;3,5752089058713898;0,00000000000000e+00;0,00000000000000e+00
ENSG00000227671;ENSG00000227671;ENSG00000227671;2,80662844957185e+02;2,22509304522007e+01;3,5537243262705664;0,00000000000000e+00;0,00000000000000e+00
ENSG00000149531;ENSG00000149531;ENSG00000149531;1,42891699397769e+02;2,12272421948337e+01;3,4994579882206933;0,00000000000000e+00;0,00000000000000e+00
ENSG00000235552;RPL6P27;ribosomal protein L6 pseudogene 27;1,20590035335347e+02;2,09694366343647e+01;3,4853437077518135;0,00000000000000e+00;0,00000000000000e+00
ENSG00000242779;ENSG00000242779;ENSG00000242779;1,20482155788118e+02;2,09653488484262e+01;3,4840851069200647;0,00000000000000e+00;0,00000000000000e+00
ENSG00000272645;ENSG00000272645;ENSG00000272645;1,00189086276666e+02;2,06853624146529e+01;3,4690513022813043;0,00000000000000e+00;0,00000000000000e+00
ENSG00000230076;RPL10P6;ribosomal protein L10 pseudogene 6;8,64303367878932e+01;2,04597099986497e+01;3,4580626102479006;0,00000000000000e+00;0,00000000000000e+00
ENSG00000245958;ENSG00000245958;ENSG00000245958;8,51843639791107e+01;2,03715731614415e+01;3,3751344563293091;0,00000000000000e+00;0,00000000000000e+00
ENSG00000184669;OR7E14P;olfactory receptor family 7 subfamily E member 14 pseudogene;7,70050692874734e+01;2,02814874867655e+01;3,4463773407107809;0,00000000000000e+00;0,00000000000000e+00
ENSG00000183506;ENSG00000183506;ENSG00000183506;7,22747447333041e+01;2,01900835917373e+01;3,4411105503323358;0,00000000000000e+00;0,00000000000000e+00
ENSG00000226278;PSPHP1;phosphoserine phosphatase pseudogene 1;6,39507937363593e+01;1,99839575024233e+01;3,4229258368600894;0,00000000000000e+00;0,00000000000000e+00
ENSG00000205464;ENSG00000205464;ENSG00000205464;5,63414054446090e+01;1,97877584732578e+01;3,3933206456122185;0,00000000000000e+00;0,00000000000000e+00
ENSG00000220848;ENSG00000220848;ENSG00000220848;5,16862275199110e+01;1,96633324158284e+01;3,4107350046776785;0,00000000000000e+00;0,00000000000000e+00
ENSG00000127957;ENSG00000127957;ENSG00000127957;4,98692349929767e+01;1,95763100396881e+01;3,3539476940861768;0,00000000000000e+00;0,00000000000000e+00
ENSG00000261556;SMG1P7;SMG1 pseudogene 7;4,87289536105440e+01;1,95330541426512e+01;3,3422403691063352;0,00000000000000e+00;0,00000000000000e+00
ENSG00000215154;ENSG00000215154;ENSG00000215154;4,33891422270728e+01;1,93381709795674e+01;3,3055269684652742;0,00000000000000e+00;0,00000000000000e+00
ENSG00000237854;ENSG00000237854;ENSG00000237854;3,85964476109231e+01;1,92358694416735e+01;3,3855241097282640;0,00000000000000e+00;0,00000000000000e+00
ENSG00000235043;ENSG00000235043;ENSG00000235043;3,52960256535625e+01;1,90717548169427e+01;3,3762241565679587;0,00000000000000e+00;0,00000000000000e+00
ENSG00000226608;ENSG00000226608;ENSG00000226608;1,70890794080910e+02;1,87211685166190e+01;1,3332258772477943;0,00000000000000e+00;0,00000000000000e+00
ENSG00000239559;ENSG00000239559;ENSG00000239559;2,60271218814656e+01;1,86007858941347e+01;3,3344738950610413;0,00000000000000e+00;0,00000000000000e+00
ENSG00000278530;ENSG00000278530;ENSG00000278530;2,10141256685416e+01;1,82933249021011e+01;3,3321871830937031;0,00000000000000e+00;0,00000000000000e+00
ENSG00000239827;ENSG00000239827;ENSG00000239827;1,88847065193995e+01;1,81282940143033e+01;3,3150760320358188;0,00000000000000e+00;0,00000000000000e+00
