gene_id;gene_symbol;PC1;PC2;PC3;PC4
ENSG00000254772;EEF1G;5,03896737733354e-02;-4,91417151295304e-02;-1,59090388139980e-02;3,34880249469473e-02
ENSG00000143196;DPT;3,46477255802898e-02;-1,22713145873928e-02;-9,82550816913668e-03;-1,95471687374120e-02
ENSG00000214736;TOMM6;3,40531200011395e-02;-3,27270965090360e-02;-1,10178233823268e-02;2,23884808865014e-02
ENSG00000072195;SPEG;3,38301149501744e-02;-8,40236499940754e-03;-8,28692375730498e-03;-5,47214035685460e-03
ENSG00000170296;GABARAP;3,35666258024739e-02;-3,13112170425987e-02;-1,38782325510879e-02;2,29476682912073e-02
ENSG00000182253;SYNM;3,33478897690089e-02;-4,52667518989534e-03;-4,31863037696698e-03;-1,21518805350775e-02
ENSG00000123560;PLP1;3,31499015373130e-02;-1,84992086874693e-02;-5,25724390528692e-03;-1,10441659313094e-02
ENSG00000018625;ATP1A2;3,28140342278196e-02;-1,58294660904230e-02;-7,29329662243342e-03;-6,62072119622469e-03
ENSG00000175785;PRIMA1;3,26120114198857e-02;-1,81041251331199e-02;-8,92345441371683e-03;-9,30100196655128e-03
ENSG00000163017;ACTG2;3,16277470111208e-02;-1,17052655097958e-03;-1,38813316136863e-02;-1,96238407103674e-02
ENSG00000185883;ATP6V0C;3,16268828786985e-02;-3,35214425823138e-02;-1,26895983667691e-02;2,49651403987030e-02
ENSG00000071991;CDH19;3,13685705695350e-02;-1,50271006778604e-02;-8,61848828283234e-04;-9,46644978174354e-03
ENSG00000266964;FXYD1;3,13512805566238e-02;-1,75176890964890e-02;-9,67504977690433e-03;9,39270299502245e-03
ENSG00000105583;WDR83OS;3,12700823513196e-02;-2,99512833665382e-02;-1,12323444212563e-02;2,13498954078818e-02
ENSG00000113196;HAND1;3,11953182976133e-02;4,07869002397158e-03;-8,53679221611330e-03;-1,46113768043586e-02
ENSG00000059915;PSD;3,08198536463259e-02;-2,06689072491677e-03;-1,42078802568765e-02;-1,07926151545611e-02
ENSG00000196136;SERPINA3;3,07968373534533e-02;-2,48428285466510e-02;-7,44585261250814e-03;1,36130882120190e-02
ENSG00000130176;CNN1;3,03139261929799e-02;-9,76065557342320e-04;-1,09903848217816e-02;-2,28495629028114e-02
ENSG00000164107;HAND2;3,00698801988100e-02;-7,00780117618305e-03;-6,78867587389724e-03;-1,27845778230858e-02
ENSG00000189367;KIAA0408;3,00073515314366e-02;-1,62285292900957e-02;-2,12273864913770e-03;1,09740734650752e-02
ENSG00000140488;CELF6;2,99332980148083e-02;-2,16540366540229e-02;-6,48859770588098e-03;1,67661350722701e-02
ENSG00000240303;ACAD11;2,96268537550011e-02;-1,89217772443953e-02;-4,52353478687296e-03;1,42152438510425e-02
ENSG00000172403;SYNPO2;2,96146106667762e-02;-6,78692689948893e-03;3,38927405002534e-03;-1,63691595978268e-02
ENSG00000115593;SMYD1;2,94627154572252e-02;2,42080539319759e-03;-7,05880278323828e-03;-2,77167708483781e-03
ENSG00000015479;MATR3;2,92258757190425e-02;-2,43700189710372e-02;9,47868492862686e-03;2,17287093563201e-02
ENSG00000165072;MAMDC2;2,91131342176932e-02;-1,93186336421432e-02;-4,15310987277102e-04;-5,08198013225395e-03
ENSG00000170500;LONRF2;2,88593218231389e-02;-5,93524819448552e-03;1,94020798893292e-03;-8,94890202162562e-03
ENSG00000152137;HSPB8;2,86083875883046e-02;-2,38062814895264e-03;-5,95125313942711e-03;-1,50726933918967e-02
ENSG00000130822;PNCK;2,85779661492799e-02;2,45191708847687e-03;-1,29836108554008e-02;-6,52727519781586e-03
ENSG00000166831;RBPMS2;2,85778145298849e-02;-4,89711571671390e-03;-9,20570818322301e-03;-9,78872397380377e-03
ENSG00000184702;SEPTIN5;2,85587370271816e-02;-1,66884958136032e-02;-9,97028468362998e-03;8,02603021028243e-03
ENSG00000004776;HSPB6;2,84835563593934e-02;-5,28144169052888e-03;-1,86810530804809e-02;-1,29851479888442e-02
ENSG00000205323;SARNP;2,84814155129046e-02;-2,43461394424353e-02;5,26776361377234e-03;1,91395294430341e-02
ENSG00000187838;PLSCR3;2,82982553031347e-02;-2,12119301661418e-02;-1,11976534608840e-02;1,32859706552833e-02
ENSG00000120057;SFRP5;2,81859114221628e-02;-1,17854188007185e-02;-7,74153413249054e-03;7,51385388476072e-04
ENSG00000240771;ARHGEF25;2,81814158096596e-02;-8,36863620546853e-03;-8,84959472982649e-03;-5,51618166542087e-03
ENSG00000161960;EIF4A1;2,81228769720121e-02;-2,82378086477175e-02;-1,30394958049927e-03;2,12923970654643e-02
ENSG00000165186;PTCHD1;2,80784702691517e-02;-5,47873803515489e-03;6,55052528839556e-04;1,84076542883022e-03
ENSG00000116194;ANGPTL1;2,80131256827557e-02;-1,43136372195991e-02;7,37960015670610e-03;-1,08088062779484e-02
ENSG00000165966;PDZRN4;2,78223440946138e-02;-3,86506025002982e-03;-1,58411036362594e-03;-1,18909571681376e-02
ENSG00000129226;CD68;2,77729329987454e-02;-3,50621891667539e-02;-9,85542289436223e-03;1,62569863699103e-02
ENSG00000124440;HIF3A;2,77676226403051e-02;-1,63587561306303e-02;-7,66126569874999e-03;1,10665310014376e-02
ENSG00000184905;TCEAL2;2,77092455910899e-02;-3,64668783524270e-03;-4,28964504275967e-03;-1,14143591012037e-02
ENSG00000198753;PLXNB3;2,76519129582567e-02;-2,06623314276967e-03;-9,72254985778833e-03;-1,72299043463840e-03
ENSG00000163050;COQ8A;2,75876345687998e-02;-2,52280011209228e-02;-1,14999630758125e-02;2,65920777771800e-02
ENSG00000280323;ENSG00000280323;2,72504274932848e-02;7,29970463933018e-04;-1,67052993042946e-03;-2,05844084027745e-03
ENSG00000145020;AMT;2,71713482777977e-02;-2,68601711701080e-02;-3,19547933447268e-03;2,14773642673735e-02
ENSG00000149596;JPH2;2,71116593426683e-02;-2,54813197336121e-03;-4,87590945355329e-03;-1,37859997445679e-02
